ID,Studies,Publication title,Reference,Publication year,Replicates,Region,Country,Climate,Latitude (N positive; S negative),Longitude (E positive; W negative),Annual average precipitation (mm),Annual average temperature,Sand (%),Silt (%),Clay (%),Soil Organic Carbon (%),Nitrogen content (%),H2O_pH,EF (%),N rate (kg N/ha),Ecosystem
40,9,Optimal Fertilizer Nitrogen Rates and Yield-Scaled Global Warming Potential in Drill Seeded Rice,Adviento-Borbe et al,2013,3,North America,USA,Temperate,39.50,-122.22,351,15.25,10,31,59,1.34,0.14,6.1,0.992,150,Cropland
41,9,Optimal Fertilizer Nitrogen Rates and Yield-Scaled Global Warming Potential in Drill Seeded Rice,Adviento-Borbe et al,2013,3,North America,USA,Temperate,39.50,-122.22,351,15.25,10,31,59,1.34,0.14,6.1,0.7125,200,Cropland
42,9,Optimal Fertilizer Nitrogen Rates and Yield-Scaled Global Warming Potential in Drill Seeded Rice,Adviento-Borbe et al,2013,3,North America,USA,Temperate,39.02,-122.17,351,15.25,30,43,28,1.37,0.11,5.5,0.53,50,Cropland
43,9,Optimal Fertilizer Nitrogen Rates and Yield-Scaled Global Warming Potential in Drill Seeded Rice,Adviento-Borbe et al,2013,3,North America,USA,Temperate,39.02,-122.17,351,15.25,30,43,28,1.37,0.11,5.5,1.027,100,Cropland
44,9,Optimal Fertilizer Nitrogen Rates and Yield-Scaled Global Warming Potential in Drill Seeded Rice,Adviento-Borbe et al,2013,3,North America,USA,Temperate,39.02,-122.17,351,15.25,30,43,28,1.37,0.11,5.5,0.389333333,150,Cropland
45,9,Optimal Fertilizer Nitrogen Rates and Yield-Scaled Global Warming Potential in Drill Seeded Rice,Adviento-Borbe et al,2013,3,North America,USA,Temperate,39.02,-122.17,351,15.25,30,43,28,1.37,0.11,5.5,0.3865,200,Cropland
46,9,Optimal Fertilizer Nitrogen Rates and Yield-Scaled Global Warming Potential in Drill Seeded Rice,Adviento-Borbe et al,2013,3,North America,USA,Subtropical,34.75,-91.67,866,19.1,13,69,18,0.676,0.071,6.2,0.454464286,112,Cropland
47,9,Optimal Fertilizer Nitrogen Rates and Yield-Scaled Global Warming Potential in Drill Seeded Rice,Adviento-Borbe et al,2013,3,North America,USA,Subtropical,34.75,-91.67,866,19.1,13,69,18,0.676,0.071,6.2,0.157142857,168,Cropland
48,9,Optimal Fertilizer Nitrogen Rates and Yield-Scaled Global Warming Potential in Drill Seeded Rice,Adviento-Borbe et al,2013,3,North America,USA,Subtropical,34.75,-91.67,866,19.1,13,69,18,0.676,0.071,6.2,0.462053571,224,Cropland
49,10,Long-term fertilization on nitrogen use efficiency and greenhouse gas emissions in a double maize cropping system in subtropical China,Afreh et al.,2018,3,Asia,China,Subtropical,28.62,116.43,2407.9,18.9,29,39,31,1.16,0.08,4.3,0.265151515,60,Cropland
50,10,Long-term fertilization on nitrogen use efficiency and greenhouse gas emissions in a double maize cropping system in subtropical China,Afreh et al.,2018,3,Asia,China,Subtropical,28.62,116.43,2407.9,18.9,29,39,31,1.58,0.083,4.9,0.148484848,60,Cropland
51,10,Long-term fertilization on nitrogen use efficiency and greenhouse gas emissions in a double maize cropping system in subtropical China,Afreh et al.,2018,3,Asia,China,Subtropical,28.62,116.43,2407.9,18.9,29,39,31,1.73,0.117,6.5,0.424242424,60,Cropland
52,10,Long-term fertilization on nitrogen use efficiency and greenhouse gas emissions in a double maize cropping system in subtropical China,Afreh et al.,2018,3,Asia,China,Subtropical,28.62,116.43,2407.9,18.9,29,39,31,1.77,0.113,6,0.254545455,120,Cropland
53,10,Long-term fertilization on nitrogen use efficiency and greenhouse gas emissions in a double maize cropping system in subtropical China,Afreh et al.,2018,3,Asia,China,Subtropical,28.62,116.43,2407.9,18.9,29,39,31,1.11,0.09,4.4,0.095454545,60,Cropland
54,10,Long-term fertilization on nitrogen use efficiency and greenhouse gas emissions in a double maize cropping system in subtropical China,Afreh et al.,2018,3,Asia,China,Subtropical,28.62,116.43,2407.9,18.9,29,39,31,1.54,0.097,4.9,0.222727273,60,Cropland
55,10,Long-term fertilization on nitrogen use efficiency and greenhouse gas emissions in a double maize cropping system in subtropical China,Afreh et al.,2018,3,Asia,China,Subtropical,28.62,116.43,2407.9,18.9,29,39,31,1.74,0.12,6.5,0.763636364,60,Cropland
56,10,Long-term fertilization on nitrogen use efficiency and greenhouse gas emissions in a double maize cropping system in subtropical China,Afreh et al.,2018,3,Asia,China,Subtropical,28.62,116.43,2407.9,18.9,29,39,31,1.78,0.13,6.1,0.360606061,120,Cropland
57,10,Long-term fertilization on nitrogen use efficiency and greenhouse gas emissions in a double maize cropping system in subtropical China,Afreh et al.,2018,3,Asia,China,Subtropical,28.62,116.43,1690.8,18.5,29,39,31,1.02,0.077,4.2,0.159090909,60,Cropland
58,10,Long-term fertilization on nitrogen use efficiency and greenhouse gas emissions in a double maize cropping system in subtropical China,Afreh et al.,2018,3,Asia,China,Subtropical,28.62,116.43,1690.8,18.5,29,39,31,1.49,0.087,4.6,0.201515152,60,Cropland
59,10,Long-term fertilization on nitrogen use efficiency and greenhouse gas emissions in a double maize cropping system in subtropical China,Afreh et al.,2018,3,Asia,China,Subtropical,28.62,116.43,1690.8,18.5,29,39,31,1.89,0.11,6.5,0.890909091,60,Cropland
60,10,Long-term fertilization on nitrogen use efficiency and greenhouse gas emissions in a double maize cropping system in subtropical China,Afreh et al.,2018,3,Asia,China,Subtropical,28.62,116.43,1690.8,18.5,29,39,31,1.86,0.117,6.4,0.100757576,120,Cropland
61,10,Long-term fertilization on nitrogen use efficiency and greenhouse gas emissions in a double maize cropping system in subtropical China,Afreh et al.,2018,3,Asia,China,Subtropical,28.62,116.43,1690.8,18.5,29,39,31,0.939,0.103,4.5,0.307575758,60,Cropland
62,10,Long-term fertilization on nitrogen use efficiency and greenhouse gas emissions in a double maize cropping system in subtropical China,Afreh et al.,2018,3,Asia,China,Subtropical,28.62,116.43,1690.8,18.5,29,39,31,1.52,0.11,4.5,0.265151515,60,Cropland
63,10,Long-term fertilization on nitrogen use efficiency and greenhouse gas emissions in a double maize cropping system in subtropical China,Afreh et al.,2018,3,Asia,China,Subtropical,28.62,116.43,1690.8,18.5,29,39,31,1.91,0.127,6.5,0.593939394,60,Cropland
64,10,Long-term fertilization on nitrogen use efficiency and greenhouse gas emissions in a double maize cropping system in subtropical China,Afreh et al.,2018,3,Asia,China,Subtropical,28.62,116.43,1690.8,18.5,29,39,31,1.86,0.143,5.8,0.487878788,120,Cropland
65,11,"Nitrification, ammonia-oxidizing communities, and N2O and CH4 fluxes in an imperfectly drained agricultural field fertilized with coated urea with and without dicyandiamide",Akiyama et al.,2013,3,Asia,Japan,Temperate,36.02,140.12,1282.9,13.8,50.2,23.2,26.6,1.7,0.13,5.7,1.304,250,Cropland
66,11,"Nitrification, ammonia-oxidizing communities, and N2O and CH4 fluxes in an imperfectly drained agricultural field fertilized with coated urea with and without dicyandiamide",Akiyama et al.,2013,3,Asia,Japan,Temperate,36.02,140.12,1282.9,13.8,50.2,23.2,26.6,1.7,0.13,5.7,2.128,250,Cropland
67,12,"Effect of chemical fertilizer form on N2O, NO and NO2 fluxes from Andisol field",Akiyama et al. ,2002,2,Asia,Japan,Temperate,36.02,140.12,1282.9,13.8,NA,NA,NA,3.13,0.26,5.9,0.058666667,150,Cropland
68,12,"Effect of chemical fertilizer form on N2O, NO and NO2 fluxes from Andisol field",Akiyama et al. ,2002,2,Asia,Japan,Temperate,36.02,140.12,1282.9,13.8,NA,NA,NA,3.13,0.26,5.9,0.044666667,150,Cropland
69,12,"Effect of chemical fertilizer form on N2O, NO and NO2 fluxes from Andisol field",Akiyama et al. ,2002,2,Asia,Japan,Temperate,36.02,140.12,1282.9,13.8,NA,NA,NA,3.13,0.26,5.9,0.260666667,150,Cropland
70,13,Greenhouse gas emission from direct seeding paddy ﬁeld under different rice tillage systems in central China,Ahmad_et_al.,2009,3,Asia,China,Subtropical,29.92,115.50,1360.65,16.8,NA,NA,NA,1.829,0.357,6.6,0.319847619,210,Cropland
71,13,Greenhouse gas emission from direct seeding paddy ﬁeld under different rice tillage systems in central China,Ahmad_et_al.,2009,3,Asia,China,Subtropical,29.92,115.50,1360.65,16.8,NA,NA,NA,1.829,0.357,6.6,0.239185714,210,Cropland
72,14,Effect of nitrogen fertilizer management and waterlogging on nitrous oxide emission from subtropical sugarcane soils,Allen et al. 2010 ,2010,5,Oceania,Australia,Subtropical,-27.72,153.27,1017,20.58,28,26,46,3,NA,5,1,100,Cropland
73,14,Effect of nitrogen fertilizer management and waterlogging on nitrous oxide emission from subtropical sugarcane soils,Allen et al. 2010 ,2010,5,Oceania,Australia,Subtropical,-27.72,153.27,1017,20.58,28,26,46,3,NA,5,1.475,200,Cropland
74,14,Effect of nitrogen fertilizer management and waterlogging on nitrous oxide emission from subtropical sugarcane soils,Allen et al. 2010 ,2010,5,Oceania,Australia,Subtropical,-27.72,153.27,1017,20.58,28,26,46,3,NA,5,1.07,100,Cropland
75,14,Effect of nitrogen fertilizer management and waterlogging on nitrous oxide emission from subtropical sugarcane soils,Allen et al. 2010 ,2010,5,Oceania,Australia,Subtropical,-27.72,153.27,1017,20.58,28,26,46,3,NA,5,3.35,200,Cropland
76,15,Injection of Dicyandiamide-Treated Pig Slurry Reduced Ammonia Volatilization without Enhancing Soil Nitrous Oxide Emissions from No-Till Corn in Southern Brazil,Aita et al. ,2014,4,South America,Brazil,Subtropical,-29.72,-53.70,1700,19,68.7,21,10.3,0.76,0.07,5.6,0.51,120,Cropland
77,15,Injection of Dicyandiamide-Treated Pig Slurry Reduced Ammonia Volatilization without Enhancing Soil Nitrous Oxide Emissions from No-Till Corn in Southern Brazil,Aita et al. ,2014,4,South America,Brazil,Subtropical,-29.72,-53.70,1700,19,68.7,21,10.3,0.76,0.07,5.6,0.266666667,150,Cropland
78,15,Injection of Dicyandiamide-Treated Pig Slurry Reduced Ammonia Volatilization without Enhancing Soil Nitrous Oxide Emissions from No-Till Corn in Southern Brazil,Aita et al. ,2014,4,South America,Brazil,Subtropical,-29.72,-53.70,1700,19,68.7,21,10.3,0.76,0.07,5.6,2.878,150,Cropland
79,15,Injection of Dicyandiamide-Treated Pig Slurry Reduced Ammonia Volatilization without Enhancing Soil Nitrous Oxide Emissions from No-Till Corn in Southern Brazil,Aita et al. ,2014,4,South America,Brazil,Subtropical,-29.72,-53.70,1700,19,68.7,21,10.3,0.76,0.07,5.6,0.378666667,150,Cropland
80,15,Injection of Dicyandiamide-Treated Pig Slurry Reduced Ammonia Volatilization without Enhancing Soil Nitrous Oxide Emissions from No-Till Corn in Southern Brazil,Aita et al. ,2014,4,South America,Brazil,Subtropical,-29.72,-53.70,1700,19,68.7,21,10.3,0.76,0.07,5.6,1.162,150,Cropland
81,15,Injection of Dicyandiamide-Treated Pig Slurry Reduced Ammonia Volatilization without Enhancing Soil Nitrous Oxide Emissions from No-Till Corn in Southern Brazil,Aita et al. ,2014,4,South America,Brazil,Subtropical,-29.72,-53.70,1700,19,68.7,21,10.3,0.76,0.07,5.6,4.878,150,Cropland
82,15,Injection of Dicyandiamide-Treated Pig Slurry Reduced Ammonia Volatilization without Enhancing Soil Nitrous Oxide Emissions from No-Till Corn in Southern Brazil,Aita et al. ,2014,4,South America,Brazil,Subtropical,-29.72,-53.72,1700,19,44.3,36.5,19.2,2.05,0.16,5.9,0.213076923,130,Cropland
83,15,Injection of Dicyandiamide-Treated Pig Slurry Reduced Ammonia Volatilization without Enhancing Soil Nitrous Oxide Emissions from No-Till Corn in Southern Brazil,Aita et al. ,2014,4,South America,Brazil,Subtropical,-29.72,-53.72,1700,19,44.3,36.5,19.2,2.05,0.16,5.9,1.388,150,Cropland
84,15,Injection of Dicyandiamide-Treated Pig Slurry Reduced Ammonia Volatilization without Enhancing Soil Nitrous Oxide Emissions from No-Till Corn in Southern Brazil,Aita et al. ,2014,4,South America,Brazil,Subtropical,-29.72,-53.72,1700,19,44.3,36.5,19.2,2.05,0.16,5.9,2.322,150,Cropland
85,15,Injection of Dicyandiamide-Treated Pig Slurry Reduced Ammonia Volatilization without Enhancing Soil Nitrous Oxide Emissions from No-Till Corn in Southern Brazil,Aita et al. ,2014,4,South America,Brazil,Subtropical,-29.72,-53.72,1700,19,44.3,36.5,19.2,2.05,0.16,5.9,0.581538462,130,Cropland
86,15,Injection of Dicyandiamide-Treated Pig Slurry Reduced Ammonia Volatilization without Enhancing Soil Nitrous Oxide Emissions from No-Till Corn in Southern Brazil,Aita et al. ,2014,4,South America,Brazil,Subtropical,-29.72,-53.72,1700,19,44.3,36.5,19.2,2.05,0.16,5.9,2.466666667,150,Cropland
87,15,Injection of Dicyandiamide-Treated Pig Slurry Reduced Ammonia Volatilization without Enhancing Soil Nitrous Oxide Emissions from No-Till Corn in Southern Brazil,Aita et al. ,2014,4,South America,Brazil,Subtropical,-29.72,-53.72,1700,19,44.3,36.5,19.2,2.05,0.16,5.9,4.723333333,150,Cropland
88,16,Nitrous Oxide and Carbon Dioxide Emissions Following Green Manure and Compost Fertilization in Corn,Alluvione et al.,2010,3,Europe,Italy,Temperate,44.88,7.68,734,11.9,36,56.5,7.5,1.02,0.1,8.1,3.137692308,130,Cropland
89,16,Nitrous Oxide and Carbon Dioxide Emissions Following Green Manure and Compost Fertilization in Corn,Alluvione et al.,2010,3,Europe,Italy,Temperate,44.88,7.68,734,11.9,36,56.5,7.5,1.02,0.1,8.1,2.451538462,130,Cropland
90,16,Nitrous Oxide and Carbon Dioxide Emissions Following Green Manure and Compost Fertilization in Corn,Alluvione et al.,2010,3,Europe,Italy,Temperate,44.88,7.68,734,11.9,36,56.5,7.5,1.02,0.1,8.1,0.149230769,130,Cropland
91,17,Nitrous oxide emissions from artificial urine patches applied to different N-fertilized swards and estimated annual N2O emissions for differently fertilized pastures in an upland location in Germany,Anger et al.,2003,4,Europe,Germany,Temperate,50.32,7.37,830,8.2,31,55,14,3.9,NA,5.9,0.125,120,Grassland
92,17,Nitrous oxide emissions from artificial urine patches applied to different N-fertilized swards and estimated annual N2O emissions for differently fertilized pastures in an upland location in Germany,Anger et al.,2003,4,Europe,Germany,Temperate,50.32,7.37,830,8.2,31,55,14,3.9,NA,5.9,0.1875,240,Grassland
93,17,Nitrous oxide emissions from artificial urine patches applied to different N-fertilized swards and estimated annual N2O emissions for differently fertilized pastures in an upland location in Germany,Anger et al.,2003,4,Europe,Germany,Temperate,50.32,7.37,830,8.2,31,55,14,3.9,NA,5.9,0.208333333,360,Grassland
94,17,Nitrous oxide emissions from artificial urine patches applied to different N-fertilized swards and estimated annual N2O emissions for differently fertilized pastures in an upland location in Germany,Anger et al.,2003,4,Europe,Germany,Temperate,50.32,7.37,830,8.2,31,55,14,3.9,NA,5.9,2.722772277,101,Grassland
95,17,Nitrous oxide emissions from artificial urine patches applied to different N-fertilized swards and estimated annual N2O emissions for differently fertilized pastures in an upland location in Germany,Anger et al.,2003,4,Europe,Germany,Temperate,50.32,7.37,830,8.2,31,55,14,3.9,NA,5.9,3.398190045,221,Grassland
96,17,Nitrous oxide emissions from artificial urine patches applied to different N-fertilized swards and estimated annual N2O emissions for differently fertilized pastures in an upland location in Germany,Anger et al.,2003,4,Europe,Germany,Temperate,50.32,7.37,830,8.2,31,55,14,3.9,NA,5.9,1.976539589,341,Grassland
97,17,Nitrous oxide emissions from artificial urine patches applied to different N-fertilized swards and estimated annual N2O emissions for differently fertilized pastures in an upland location in Germany,Anger et al.,2003,4,Europe,Germany,Temperate,50.32,7.37,830,8.2,31,55,14,3.9,NA,5.9,1.796095445,461,Grassland
98,17,Nitrous oxide emissions from artificial urine patches applied to different N-fertilized swards and estimated annual N2O emissions for differently fertilized pastures in an upland location in Germany,Anger et al.,2003,4,Europe,Germany,Temperate,50.32,7.37,830,8.2,31,55,14,3.9,NA,5.9,0.524752475,101,Grassland
99,17,Nitrous oxide emissions from artificial urine patches applied to different N-fertilized swards and estimated annual N2O emissions for differently fertilized pastures in an upland location in Germany,Anger et al.,2003,4,Europe,Germany,Temperate,50.32,7.37,830,8.2,31,55,14,3.9,NA,5.9,0.330316742,221,Grassland
100,17,Nitrous oxide emissions from artificial urine patches applied to different N-fertilized swards and estimated annual N2O emissions for differently fertilized pastures in an upland location in Germany,Anger et al.,2003,4,Europe,Germany,Temperate,50.32,7.37,830,8.2,31,55,14,3.9,NA,5.9,0.187683284,341,Grassland
101,17,Nitrous oxide emissions from artificial urine patches applied to different N-fertilized swards and estimated annual N2O emissions for differently fertilized pastures in an upland location in Germany,Anger et al.,2003,4,Europe,Germany,Temperate,50.32,7.37,830,8.2,31,55,14,3.9,NA,5.9,0.353579176,461,Grassland
102,18,"The effect of urea and pig slurry fertilization on denitrification, direct nitrous oxide emission, volatile fatty acids, water-soluble carbon and anthrone-reactive carbon in maize-cropped soil from the Po plain (Modena, Italy)",Arcara et al.,1999,3,Europe,Italy,Temperate,44.83,11.03,920,14.4,NA,NA,NA,1.3746,0.165,7.6,0.285333333,225,Cropland
103,18,"The effect of urea and pig slurry fertilization on denitrification, direct nitrous oxide emission, volatile fatty acids, water-soluble carbon and anthrone-reactive carbon in maize-cropped soil from the Po plain (Modena, Italy)",Arcara et al.,1999,3,Europe,Italy,Temperate,44.83,11.03,920,14.4,NA,NA,NA,1.3746,0.165,7.6,0.264666667,450,Cropland
104,18,"The effect of urea and pig slurry fertilization on denitrification, direct nitrous oxide emission, volatile fatty acids, water-soluble carbon and anthrone-reactive carbon in maize-cropped soil from the Po plain (Modena, Italy)",Arcara et al.,1999,3,Europe,Italy,Temperate,44.83,11.03,920,14.4,NA,NA,NA,1.3746,0.165,7.6,0.276444444,225,Cropland
105,19,Effect of diet manipulation in dairy cow N balance and nitrogen oxides emissions from grasslands in northern Spain,Arriaga et al.,2010,4,Europe,Spain,Temperate,43.30,-3.88,1200,12,37,34,29,2.32,NA,6.6,3.5,120,Grassland
106,19,Effect of diet manipulation in dairy cow N balance and nitrogen oxides emissions from grasslands in northern Spain,Arriaga et al.,2010,4,Europe,Spain,Temperate,43.30,-3.88,1200,12,37,34,29,2.17,NA,6.6,4.166666667,120,Grassland
107,20,Nitrous Oxide Emissions from a Clay soil receiving granular urea formulations and dairy manure,Asgedom et al.,2014,4,North America,Canada,Temperate,49.63,-98.50,320,15,4,26,70,2.1,NA,7.6,1.708333333,120,Cropland
