County_Num,County_Full,State_1,MostCom_Crop_Count,Crop,County,Average_Rec,Max_Rec,Notes and URL,Time_Checked,OBJECTID,FID_1,COUNT,AREA,MeanDeltaTimesTen,RF_minus_avg_rec_mean,STDDeltaTimesTen,RF_minus_avg_rec_STD,MEANRFtimesTen,MeanRF,STDRFtimesTen,STDRF,Total_Sum,Sum_Under_Average,Percentage_Under_Average,Hectares_Under,Acres_Under,Total_Sum,Sum_Under_Max,Percentage_Under_Max,Hectares_Under,Acres_Under
11,Chilton County,Alabama,53661,Other Hay/Non Alfalfa,Chilton,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",11,11,362691,326421900,-12.05398535,-1.205398535,1.36729473,0.136729473,51.94601465,5.194601465,1.36729473,0.136729473,362691,362691,100,32642.19,80660.53681,362691,362691,100,32642.19,80660.53681
12,Choctaw County,Alabama,6300,Other Hay/Non Alfalfa,Choctaw,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",12,12,118851,106965900,-13.03214108,-1.303214108,1.673190372,0.167319037,50.96785892,5.096785892,1.673190372,0.167319037,118851,118851,100,10696.59,26431.82616,118851,118851,100,10696.59,26431.82616
13,Clarke County,Alabama,12761,Other Hay/Non Alfalfa,Clarke,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",13,13,114116,102704400,-14.12786989,-1.412786989,1.846586648,0.184658665,49.87213011,4.987213011,1.846586648,0.184658665,114116,114116,100,10270.44,25378.7875,114116,114116,100,10270.44,25378.7875
14,Clay County,Alabama,39332,Other Hay/Non Alfalfa,Clay,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",14,14,215447,193902300,-12.40797505,-1.240797505,1.598666311,0.159866631,51.59202495,5.159202495,1.598666311,0.159866631,215447,215447,100,19390.23,47914.25945,215447,215447,100,19390.23,47914.25945
15,Cleburne County,Alabama,22099,Other Hay/Non Alfalfa,Cleburne,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",15,15,164023,147620700,-11.27053523,-1.127053523,1.608395978,0.160839598,52.72946477,5.272946477,1.608395978,0.160839598,164023,164023,100,14762.07,36477.83714,164023,164023,100,14762.07,36477.83714
16,Coffee County,Alabama,145243,Other Hay/Non Alfalfa,Coffee,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",16,16,562888,506599200,-10.60851537,-1.060851537,2.601923699,0.26019237,53.39148463,5.339148463,2.601923699,0.26019237,562888,562888,100,50659.92,125183.2779,562888,562888,100,50659.92,125183.2779
17,Colbert County,Alabama,81013,Corn,Colbert,6.5,6.5,"Only lime if below 6, but lime to 6.5 6.5	6.5	Only lime if below 6, but lime to 6.5 https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf","""September 2024""",17,17,539606,485645400,-10.16826907,-1.016826907,1.582197637,0.158219764,54.83173093,5.483173093,1.582197637,0.158219764,539606,539606,100,48564.54,120005.4857,539606,539606,100,48564.54,120005.4857
18,Conecuh County,Alabama,65862,Other Hay/Non Alfalfa,Conecuh,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",18,18,244462,220015800,-13.26722763,-1.326722763,1.49516025,0.149516025,50.73277237,5.073277237,1.49516025,0.149516025,244462,244462,100,22001.58,54367.04012,244462,244462,100,22001.58,54367.04012
19,Coosa County,Alabama,13330,Other Hay/Non Alfalfa,Coosa,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",19,19,108885,97996500,-12.85054874,-1.285054874,1.237387969,0.123738797,51.14945126,5.114945126,1.237387969,0.123738797,108885,108885,100,9799.65,24215.44111,108885,108885,100,9799.65,24215.44111
20,Covington County,Alabama,117352,Other Hay/Non Alfalfa,Covington,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",20,20,544531,490077900,-12.98445451,-1.298445451,1.573978371,0.157397837,51.01554549,5.101554549,1.573978371,0.157397837,544531,544531,100,49007.79,121100.7794,544531,544531,100,49007.79,121100.7794
21,Crenshaw County,Alabama,94309,Other Hay/Non Alfalfa,Crenshaw,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",21,21,294407,264966300,-12.9230555,-1.29230555,1.277534448,0.127753445,51.0769445,5.10769445,1.277534448,0.127753445,294407,294407,100,26496.63,65474.54075,294407,294407,100,26496.63,65474.54075
22,Cullman County,Alabama,54835,Other Hay/Non Alfalfa,Cullman,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",22,22,845494,760944600,-9.500574812,-0.950057481,1.135460869,0.113546087,54.49942519,5.449942519,1.135460869,0.113546087,845494,845494,100,76094.46,188033.3394,845494,845494,100,76094.46,188033.3394
23,Dale County,Alabama,96767,Other Hay/Non Alfalfa,Dale,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",23,23,377547,339792300,-11.64403637,-1.164403637,1.918730919,0.191873092,52.35596363,5.235596363,1.918730919,0.191873092,377547,377547,100,33979.23,83964.43168,377547,377547,100,33979.23,83964.43168
24,Dallas County,Alabama,152368,Other Hay/Non Alfalfa,Dallas,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",24,24,721451,649305900,-5.482764595,-0.54827646,5.64154375,0.564154375,58.5172354,5.85172354,5.64154375,0.564154375,721451,541742,75.09061599,48756.78,120480.5207,721451,721451,100,64930.59,160446.8403
25,DeKalb County,Alabama,125398,Other Hay/Non Alfalfa,DeKalb,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",25,25,960881,864792900,-8.800963907,-0.880096391,1.671665345,0.167166534,55.19903609,5.519903609,1.671665345,0.167166534,960881,960881,100,86479.29,213694.7905,960881,960881,100,86479.29,213694.7905
26,Elmore County,Alabama,57551,Other Hay/Non Alfalfa,Elmore,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",26,26,402783,362504700,-11.25289051,-1.125289051,1.652570895,0.16525709,52.74710949,5.274710949,1.652570895,0.16525709,402783,402783,100,36250.47,89576.78299,402783,402783,100,36250.47,89576.78299
27,Escambia County,Alabama,114393,Cotton,Escambia,6.5,6.5,"Only lime if below 6, but lime to 6.5 https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf","""September 2024""",27,27,380660,342594000,-13.25743446,-1.325743446,3.694373307,0.369437331,51.74256554,5.174256554,3.694373307,0.369437331,380660,380660,100,34259.4,84656.74622,380660,380660,100,34259.4,84656.74622
28,Etowah County,Alabama,38317,Other Hay/Non Alfalfa,Etowah,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",28,28,415569,374012100,-8.047493918,-0.804749392,1.293430757,0.129343076,55.95250608,5.595250608,1.293430757,0.129343076,415569,415569,100,37401.21,92420.32094,415569,415569,100,37401.21,92420.32094
29,Fayette County,Alabama,42977,Other Hay/Non Alfalfa,Fayette,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",29,29,191150,172035000,-12.32994507,-1.232994507,1.494465672,0.149446567,51.67005493,5.167005493,1.494465672,0.149446567,191150,191150,100,17203.5,42510.73672,191150,191150,100,17203.5,42510.73672
30,Franklin County,Alabama,28871,Other Hay/Non Alfalfa,Franklin,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",30,30,460444,414399600,-9.649134314,-0.964913431,2.246654119,0.224665412,54.35086569,5.435086569,2.246654119,0.224665412,460444,460444,100,41439.96,102400.2807,460444,460444,100,41439.96,102400.2807
31,Geneva County,Alabama,169300,Cotton,Geneva,6.5,6.5,"Only lime if below 6, but lime to 6.5 https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf","""September 2024""",31,31,710104,639093600,-9.526676374,-0.952667637,1.899576453,0.189957645,55.47332363,5.547332363,1.899576453,0.189957645,710104,710104,100,63909.36,157923.3282,710104,710104,100,63909.36,157923.3282
32,Greene County,Alabama,30955,Other Hay/Non Alfalfa,Greene,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",32,32,360098,324088200,-7.12617954,-0.712617954,2.372289248,0.237228925,56.87382046,5.687382046,2.372289248,0.237228925,360098,360098,100,32408.82,80083.86749,360098,360098,100,32408.82,80083.86749
33,Hale County,Alabama,34257,Other Hay/Non Alfalfa,Hale,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",33,33,515033,463529700,-4.818075735,-0.481807573,4.724803085,0.472480308,59.18192427,5.918192427,4.724803085,0.472480308,515033,434581,84.37925337,39112.29,96648.48796,515033,515033,100,46352.97,114540.5821
34,Henry County,Alabama,125938,Other Hay/Non Alfalfa,Henry,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",34,34,504355,453919500,-10.86876109,-1.086876109,2.959875875,0.295987587,53.13123891,5.313123891,2.959875875,0.295987587,504355,504355,100,45391.95,112165.852,504355,504355,100,45391.95,112165.852
35,Houston County,Alabama,176993,Cotton,Houston,6.5,6.5,"Only lime if below 6, but lime to 6.5 https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf","""September 2024""",35,35,736554,662898600,-10.01679307,-1.001679307,1.459613468,0.145961347,54.98320693,5.498320693,1.459613468,0.145961347,736554,736554,100,66289.86,163805.6666,736554,736554,100,66289.86,163805.6666
36,Jackson County,Alabama,141054,Soybeans,Jackson,6.15,6.5,"Range, 5.8-6.5; averaged at 6.15 https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-legumes/","""September 2024""",36,36,863574,777216600,-4.717874785,-0.471787479,2.253064822,0.225306482,56.78212521,5.678212521,2.253064822,0.225306482,863574,821392,95.1154157,73925.28,182673.1837,863574,845704,97.93069268,76113.36,188080.0423
37,Jefferson County,Alabama,11411,Other Hay/Non Alfalfa,Jefferson,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",37,37,199776,179798400,-11.39693957,-1.139693957,2.351683335,0.235168334,52.60306043,5.260306043,2.351683335,0.235168334,199776,199776,100,17979.84,44429.11294,199776,199776,100,17979.84,44429.11294
38,Lamar County,Alabama,40730,Other Hay/Non Alfalfa,Lamar,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",38,38,176773,159095700,-12.8961493,-1.28961493,1.431910229,0.143191023,51.1038507,5.11038507,1.431910229,0.143191023,176773,176773,100,15909.57,39313.36888,176773,176773,100,15909.57,39313.36888
39,Lauderdale County,Alabama,107614,Corn,Lauderdale,6.5,6.5,"Only lime if below 6, but lime to 6.5 6.5	6.5	Only lime if below 6, but lime to 6.5 https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf","""September 2024""",39,39,881538,793384200,-9.911508069,-0.991150807,1.349440604,0.13494406,55.08849193,5.508849193,1.349440604,0.13494406,881538,881538,100,79338.42,196049.3321,881538,881538,100,79338.42,196049.3321
40,Lawrence County,Alabama,148967,Corn,Lawrence,6.5,6.5,"Only lime if below 6, but lime to 6.5 6.5	6.5	Only lime if below 6, but lime to 6.5 https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf","""September 2024""",40,40,894336,804902400,-8.943937178,-0.894393718,1.64897719,0.164897719,56.05606282,5.605606282,1.64897719,0.164897719,894336,894336,100,80490.24,198895.5388,894336,894336,100,80490.24,198895.5388
41,Lee County,Alabama,29781,Other Hay/Non Alfalfa,Lee,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",41,41,230198,207178200,-12.36429074,-1.236429074,1.270173732,0.127017373,51.63570926,5.163570926,1.270173732,0.127017373,230198,230198,100,20717.82,51194.80288,230198,230198,100,20717.82,51194.80288
42,Limestone County,Alabama,196514,Soybeans,Limestone,6.15,6.5,"Range, 5.8-6.5; averaged at 6.15 https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-legumes/","""September 2024""",42,42,924121,831708900,-6.040889126,-0.604088913,1.456451732,0.145645173,55.45911087,5.545911087,1.456451732,0.145645173,924121,924121,100,83170.89,205519.5633,924121,924121,100,83170.89,205519.5633
43,Lowndes County,Alabama,106920,Other Hay/Non Alfalfa,Lowndes,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",43,43,655601,590040900,-5.34819654,-0.534819654,3.659930325,0.365993033,58.65180346,5.865180346,3.659930325,0.365993033,655601,556558,84.89279303,50090.22,123775.5198,655601,655601,100,59004.09,145802.1528
44,Macon County,Alabama,39386,Other Hay/Non Alfalfa,Macon,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",44,44,302223,272000700,-10.27691142,-1.027691142,2.907178734,0.290717873,53.72308858,5.372308858,2.907178734,0.290717873,302223,302223,100,27200.07,67212.77731,302223,302223,100,27200.07,67212.77731
45,Madison County,Alabama,138660,Corn,Madison,6.5,6.5,"Only lime if below 6, but lime to 6.5 6.5	6.5	Only lime if below 6, but lime to 6.5 https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf","""September 2024""",45,45,858453,772607700,-9.171991944,-0.917199194,1.715334653,0.171533465,55.82800806,5.582800806,1.715334653,0.171533465,858453,858453,100,77260.77,190915.3517,858453,858453,100,77260.77,190915.3517
46,Marengo County,Alabama,79928,Other Hay/Non Alfalfa,Marengo,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",46,46,574849,517364100,-4.129230459,-0.412923046,5.20319196,0.520319196,59.87076954,5.987076954,5.20319196,0.520319196,574849,395756,68.84520979,35618.04,88014.0158,574849,574849,100,51736.41,127843.3403
47,Marion County,Alabama,64148,Other Hay/Non Alfalfa,Marion,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",47,47,336936,303242400,-11.88376724,-1.188376724,2.208028917,0.220802892,52.11623276,5.211623276,2.208028917,0.220802892,336936,336936,100,30324.24,74932.76268,336936,336936,100,30324.24,74932.76268
48,Marshall County,Alabama,83377,Other Hay/Non Alfalfa,Marshall,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",48,48,651828,586645200,-9.074252717,-0.907425272,1.625007013,0.162500701,54.92574728,5.492574728,1.625007013,0.162500701,651828,651828,100,58664.52,144963.0578,651828,651828,100,58664.52,144963.0578
49,Mobile County,Alabama,53710,Peanuts,Mobile,6.5,6.5,https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf,"""September 2024""",49,49,399572,359614800,-14.31444896,-1.431444896,2.492984189,0.249298419,50.68555104,5.068555104,2.492984189,0.249298419,399572,399572,100,35961.48,88862.67378,399572,399572,100,35961.48,88862.67378
