County_Num,County_Full,State_1,MostCom_Crop_Count,Crop,County,Average_Rec,Max_Rec,Notes and URL,Time_Checked,FID_1,OBJECTID,COUNT,AREA,MeanDeltaTimesTen,EBK_minus_avg_rec_mean,STDDeltaTimesTen,EBK_minus_avg_rec_STD,MEANEBKtimesTen,MeanEBK,STDEBKtimesTen,STDEBK,Total_Sum,Sum_Under_Average,Percentage_Under_Average,Hectares_Under,Acres_Under,Total_Sum,Sum_Under_Max,Percentage_Under_Max,Hectares_Under,Acres_Under
13,Clarke County,Alabama,12761,Other Hay/Non Alfalfa,Clarke,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",13,13,114116,102704400,-7.134827719,-0.713482772,1.15435471,0.115435471,56.86517228,5.686517228,1.15435471,0.115435471,114116,114116,100,10270.44,25378.7875,114116,114116,100,10270.44,25378.7875
14,Clay County,Alabama,39332,Other Hay/Non Alfalfa,Clay,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",14,14,215447,193902300,-11.35801845,-1.135801845,0.493764021,0.049376402,52.64198155,5.264198155,0.493764021,0.049376402,215447,215447,100,19390.23,47914.25945,215447,215447,100,19390.23,47914.25945
15,Cleburne County,Alabama,22099,Other Hay/Non Alfalfa,Cleburne,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",15,15,164023,147620700,-12.92417527,-1.292417527,0.45204999,0.045204999,51.07582473,5.107582473,0.45204999,0.045204999,164023,164023,100,14762.07,36477.83714,164023,164023,100,14762.07,36477.83714
16,Coffee County,Alabama,145243,Other Hay/Non Alfalfa,Coffee,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",16,16,562888,506599200,-10.22545871,-1.022545871,1.301194365,0.130119436,53.77454129,5.377454129,1.301194365,0.130119436,562888,562888,100,50659.92,125183.2779,562888,562888,100,50659.92,125183.2779
17,Colbert County,Alabama,81013,Corn,Colbert,6.5,6.5,"Only lime if below 6, but lime to 6.5 6.5	6.5	Only lime if below 6, but lime to 6.5 https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf","""September 2024""",17,17,539606,485645400,-14.73456374,-1.473456374,1.132091854,0.113209185,50.26543626,5.026543626,1.132091854,0.113209185,539606,539606,100,48564.54,120005.4857,539606,539606,100,48564.54,120005.4857
18,Conecuh County,Alabama,65862,Other Hay/Non Alfalfa,Conecuh,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",18,18,244462,220015800,-9.080740565,-0.908074056,0.77434616,0.077434616,54.91925944,5.491925944,0.77434616,0.077434616,244462,244462,100,22001.58,54367.04012,244462,244462,100,22001.58,54367.04012
19,Coosa County,Alabama,13330,Other Hay/Non Alfalfa,Coosa,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",19,19,108885,97996500,-10.48768885,-1.048768885,1.53755022,0.153755022,53.51231115,5.351231115,1.53755022,0.153755022,108885,108885,100,9799.65,24215.44111,108885,108885,100,9799.65,24215.44111
20,Covington County,Alabama,117352,Other Hay/Non Alfalfa,Covington,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",20,20,544531,490077900,-10.90742492,-1.090742492,0.569399083,0.056939908,53.09257508,5.309257508,0.569399083,0.056939908,544531,544531,100,49007.79,121100.7794,544531,544531,100,49007.79,121100.7794
21,Crenshaw County,Alabama,94309,Other Hay/Non Alfalfa,Crenshaw,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",21,21,294407,264966300,-10.00719752,-1.000719752,0.99827428,0.099827428,53.99280248,5.399280248,0.99827428,0.099827428,294407,294407,100,26496.63,65474.54075,294407,294407,100,26496.63,65474.54075
22,Cullman County,Alabama,54835,Other Hay/Non Alfalfa,Cullman,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",22,22,845494,760944600,-10.33150324,-1.033150324,0.973337416,0.097333742,53.66849676,5.366849676,0.973337416,0.097333742,845494,845494,100,76094.46,188033.3394,845494,845494,100,76094.46,188033.3394
23,Dale County,Alabama,96767,Other Hay/Non Alfalfa,Dale,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",23,23,377547,339792300,-6.877681454,-0.687768145,1.341581171,0.134158117,57.12231855,5.712231855,1.341581171,0.134158117,377547,377547,100,33979.23,83964.43168,377547,377547,100,33979.23,83964.43168
24,Dallas County,Alabama,152368,Other Hay/Non Alfalfa,Dallas,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",24,24,721451,649305900,-3.642438641,-0.364243864,2.228138163,0.222813816,60.35756136,6.035756136,2.228138163,0.222813816,721451,674987,93.55964577,60748.83,150113.4954,721451,721451,100,64930.59,160446.8403
25,DeKalb County,Alabama,125398,Other Hay/Non Alfalfa,DeKalb,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",25,25,960881,864792900,-12.01957995,-1.201957995,1.647213302,0.16472133,51.98042005,5.198042005,1.647213302,0.16472133,960881,960881,100,86479.29,213694.7905,960881,960881,100,86479.29,213694.7905
26,Elmore County,Alabama,57551,Other Hay/Non Alfalfa,Elmore,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",26,26,402783,362504700,-7.15202727,-0.715202727,1.007799805,0.100779981,56.84797273,5.684797273,1.007799805,0.100779981,402783,402783,100,36250.47,89576.78299,402783,402783,100,36250.47,89576.78299
27,Escambia County,Alabama,114393,Cotton,Escambia,6.5,6.5,"Only lime if below 6, but lime to 6.5 https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf","""September 2024""",27,27,380660,342594000,-11.57187516,-1.157187516,0.82942664,0.082942664,53.42812484,5.342812484,0.82942664,0.082942664,380660,380660,100,34259.4,84656.74622,380660,380660,100,34259.4,84656.74622
28,Etowah County,Alabama,38317,Other Hay/Non Alfalfa,Etowah,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",28,28,415569,374012100,-11.34596661,-1.134596661,0.573690383,0.057369038,52.65403339,5.265403339,0.573690383,0.057369038,415569,415569,100,37401.21,92420.32094,415569,415569,100,37401.21,92420.32094
29,Fayette County,Alabama,42977,Other Hay/Non Alfalfa,Fayette,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",29,29,191150,172035000,-7.052100445,-0.705210044,1.56385429,0.156385429,56.94789956,5.694789956,1.56385429,0.156385429,191150,191150,100,17203.5,42510.73672,191150,191150,100,17203.5,42510.73672
30,Franklin County,Alabama,28871,Other Hay/Non Alfalfa,Franklin,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",30,30,460444,414399600,-11.82678241,-1.182678241,0.661384362,0.066138436,52.17321759,5.217321759,0.661384362,0.066138436,460444,460444,100,41439.96,102400.2807,460444,460444,100,41439.96,102400.2807
31,Geneva County,Alabama,169300,Cotton,Geneva,6.5,6.5,"Only lime if below 6, but lime to 6.5 https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf","""September 2024""",31,31,710104,639093600,-9.962815306,-0.996281531,1.750750489,0.175075049,55.03718469,5.503718469,1.750750489,0.175075049,710104,710104,100,63909.36,157923.3282,710104,710104,100,63909.36,157923.3282
32,Greene County,Alabama,30955,Other Hay/Non Alfalfa,Greene,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",32,32,360098,324088200,1.41333748,0.141333748,1.010607535,0.101060754,65.41333748,6.541333748,1.010607535,0.101060754,360098,0,0,0,0,360098,360098,100,32408.82,80083.86749
33,Hale County,Alabama,34257,Other Hay/Non Alfalfa,Hale,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",33,33,515033,463529700,2.225523413,0.222552341,0.766127109,0.076612711,66.22552341,6.622552341,0.766127109,0.076612711,515033,1512,0.293573422,136.08,336.2607058,515033,515033,100,46352.97,114540.5821
34,Henry County,Alabama,125938,Other Hay/Non Alfalfa,Henry,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",34,34,504355,453919500,-4.281815388,-0.428181539,1.140486371,0.114048637,59.71818461,5.971818461,1.140486371,0.114048637,504355,504355,100,45391.95,112165.852,504355,504355,100,45391.95,112165.852
35,Houston County,Alabama,176993,Cotton,Houston,6.5,6.5,"Only lime if below 6, but lime to 6.5 https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf","""September 2024""",35,35,736554,662898600,-7.531852383,-0.753185238,1.647251485,0.164725149,57.46814762,5.746814762,1.647251485,0.164725149,736554,736554,100,66289.86,163805.6666,736554,736554,100,66289.86,163805.6666
36,Jackson County,Alabama,141054,Soybeans,Jackson,6.15,6.5,"Range, 5.8-6.5; averaged at 6.15 https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-legumes/","""September 2024""",36,36,863574,777216600,-7.638517371,-0.763851737,2.359642963,0.235964296,53.86148263,5.386148263,2.359642963,0.235964296,863574,863574,100,77721.66,192054.2346,863574,863574,100,77721.66,192054.2346
37,Jefferson County,Alabama,11411,Other Hay/Non Alfalfa,Jefferson,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",37,37,199776,179798400,-10.62873919,-1.062873919,2.08653561,0.208653561,53.37126081,5.337126081,2.08653561,0.208653561,199776,199776,100,17979.84,44429.11294,199776,199776,100,17979.84,44429.11294
38,Lamar County,Alabama,40730,Other Hay/Non Alfalfa,Lamar,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",38,38,176773,159095700,-5.686716863,-0.568671686,2.126516595,0.212651659,58.31328314,5.831328314,2.126516595,0.212651659,176773,176773,100,15909.57,39313.36888,176773,176773,100,15909.57,39313.36888
39,Lauderdale County,Alabama,107614,Corn,Lauderdale,6.5,6.5,"Only lime if below 6, but lime to 6.5 6.5	6.5	Only lime if below 6, but lime to 6.5 https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf","""September 2024""",39,39,881538,793384200,-14.27866978,-1.427866978,2.361658808,0.236165881,50.72133022,5.072133022,2.361658808,0.236165881,881538,881538,100,79338.42,196049.3321,881538,881538,100,79338.42,196049.3321
40,Lawrence County,Alabama,148967,Corn,Lawrence,6.5,6.5,"Only lime if below 6, but lime to 6.5 6.5	6.5	Only lime if below 6, but lime to 6.5 https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf","""September 2024""",40,40,894336,804902400,-13.46653495,-1.346653495,1.028094869,0.102809487,51.53346505,5.153346505,1.028094869,0.102809487,894336,894336,100,80490.24,198895.5388,894336,894336,100,80490.24,198895.5388
41,Lee County,Alabama,29781,Other Hay/Non Alfalfa,Lee,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",41,41,230198,207178200,-5.340932588,-0.534093259,1.167723426,0.116772343,58.65906741,5.865906741,1.167723426,0.116772343,230198,230198,100,20717.82,51194.80288,230198,230198,100,20717.82,51194.80288
42,Limestone County,Alabama,196514,Soybeans,Limestone,6.15,6.5,"Range, 5.8-6.5; averaged at 6.15 https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-legumes/","""September 2024""",42,42,924121,831708900,-7.454923652,-0.745492365,1.749621449,0.174962145,54.04507635,5.404507635,1.749621449,0.174962145,924121,924121,100,83170.89,205519.5633,924121,924121,100,83170.89,205519.5633
43,Lowndes County,Alabama,106920,Other Hay/Non Alfalfa,Lowndes,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",43,43,655601,590040900,-7.31483326,-0.731483326,0.675835172,0.067583517,56.68516674,5.668516674,0.675835172,0.067583517,655601,655601,100,59004.09,145802.1528,655601,655601,100,59004.09,145802.1528
44,Macon County,Alabama,39386,Other Hay/Non Alfalfa,Macon,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",44,44,302223,272000700,-4.867915413,-0.486791541,2.322645002,0.2322645,59.13208459,5.913208459,2.322645002,0.2322645,302223,294417,97.417139,26497.53,65476.7647,302223,302223,100,27200.07,67212.77731
45,Madison County,Alabama,138660,Corn,Madison,6.5,6.5,"Only lime if below 6, but lime to 6.5 6.5	6.5	Only lime if below 6, but lime to 6.5 https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf","""September 2024""",45,45,858453,772607700,-8.063588805,-0.80635888,1.383749099,0.13837491,56.9364112,5.69364112,1.383749099,0.13837491,858453,858453,100,77260.77,190915.3517,858453,858453,100,77260.77,190915.3517
46,Marengo County,Alabama,79928,Other Hay/Non Alfalfa,Marengo,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",46,46,574849,517364100,-0.796219529,-0.079621953,1.577617006,0.157761701,63.20378047,6.320378047,1.577617006,0.157761701,574849,275236,47.87970406,24771.24,61211.01298,574849,574849,100,51736.41,127843.3403
47,Marion County,Alabama,64148,Other Hay/Non Alfalfa,Marion,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",47,47,336936,303242400,-10.1835957,-1.01835957,0.833492583,0.083349258,53.8164043,5.38164043,0.833492583,0.083349258,336936,336936,100,30324.24,74932.76268,336936,336936,100,30324.24,74932.76268
48,Marshall County,Alabama,83377,Other Hay/Non Alfalfa,Marshall,6.4,8,"Average of 5 crops ranges: tall fescue (5.6-6.5), dallisgrass (5.6-8), bahaigrass (5.6-6.5), bermudagrass (5.6-7), and white clover (6-7.5) https://alfafarmers.org/uploads/files/HayForageFacts.pdf, https://www.aces.edu/blog/topics/farming/alabama-planting-guide-for-forage-grasses/","""September 2024""",48,48,651828,586645200,-8.423073265,-0.842307326,1.782395203,0.17823952,55.57692674,5.557692674,1.782395203,0.17823952,651828,651828,100,58664.52,144963.0578,651828,651828,100,58664.52,144963.0578
49,Mobile County,Alabama,53710,Peanuts,Mobile,6.5,6.5,https://www.aces.edu/wp-content/uploads/2020/06/AlabamaRowCropsPDF_final.pdf,"""September 2024""",49,49,399572,359614800,-11.1014911,-1.11014911,0.787687732,0.078768773,53.8985089,5.38985089,0.787687732,0.078768773,399572,399572,100,35961.48,88862.67378,399572,399572,100,35961.48,88862.67378
